Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
FIT_HPPP_Bound_060622_04.228.228.1.dta 82582 82582 0 0 10036 10036
FIT_HPPP_Bound_060622_04.229.229.2.dta 0 0 0 0 291 291
FIT_HPPP_Bound_060622_04.229.229.3.dta 0 0 0 0 291 291
FIT_HPPP_Bound_060622_04.231.231.1.dta 75612 75612 0 0 9477 9477
FIT_HPPP_Bound_060622_04.232.232.1.dta 47131 47131 0 0 6581 6581
FIT_HPPP_Bound_060622_04.235.235.1.dta 152927 152927 0 0 51665 51665
FIT_HPPP_Bound_060622_04.236.236.1.dta 54973 54973 0 0 6667 6667
FIT_HPPP_Bound_060622_04.237.237.1.dta 114748 114748 0 0 23850 23850
FIT_HPPP_Bound_060622_04.239.239.1.dta 152179 152179 0 0 55347 55347
FIT_HPPP_Bound_060622_04.240.240.1.dta 105628 105628 0 0 20549 20549
FIT_HPPP_Bound_060622_04.241.243.1.dta 85199 43789 0 0 4632 2412
FIT_HPPP_Bound_060622_04.244.244.1.dta 4179 4179 0 0 39965 39965
FIT_HPPP_Bound_060622_04.245.245.1.dta 24178 24178 0 0 7007 7007
FIT_HPPP_Bound_060622_04.247.247.1.dta 5155 5155 0 0 39497 39497
FIT_HPPP_Bound_060622_04.248.248.1.dta 22918 22918 0 0 5893 5893
FIT_HPPP_Bound_060622_04.249.249.1.dta 263811 263811 0 0 25399 25399
FIT_HPPP_Bound_060622_04.251.251.1.dta 47739 47739 0 0 2904 2904
FIT_HPPP_Bound_060622_04.252.252.1.dta 165748 165748 0 0 11090 11090
FIT_HPPP_Bound_060622_04.253.253.1.dta 16722 16722 0 0 1159 1159
FIT_HPPP_Bound_060622_04.255.255.1.dta 173409 173409 0 0 10367 10367
FIT_HPPP_Bound_060622_04.256.256.1.dta 262348 262348 0 0 24955 24955
FIT_HPPP_Bound_060622_04.257.257.1.dta 17684 17684 0 0 1348 1348
FIT_HPPP_Bound_060622_04.259.259.1.dta 53040 53040 0 0 3139 3139
FIT_HPPP_Bound_060622_04.260.260.1.dta 111337 111337 0 0 8677 8677
FIT_HPPP_Bound_060622_04.262.262.1.dta 56091 56091 0 0 4707 4707
FIT_HPPP_Bound_060622_04.263.263.1.dta 517097 517097 0 0 18140 18140
FIT_HPPP_Bound_060622_04.264.264.1.dta 85082 85082 0 0 5286 5286
FIT_HPPP_Bound_060622_04.266.266.1.dta 56412 56412 0 0 4687 4687
FIT_HPPP_Bound_060622_04.267.267.1.dta 12331 12331 0 0 610 610
FIT_HPPP_Bound_060622_04.269.269.1.dta 98485 98485 0 0 8807 8807
FIT_HPPP_Bound_060622_04.271.271.1.dta 9345 9345 0 0 673 673
FIT_HPPP_Bound_060622_04.273.273.1.dta 26060 26060 0 0 4436 4436
FIT_HPPP_Bound_060622_04.275.275.1.dta 2680 2680 0 0 1966 1966
FIT_HPPP_Bound_060622_04.277.277.1.dta 24615 24615 0 0 4906 4906
FIT_HPPP_Bound_060622_04.278.278.1.dta 17516 17516 0 0 1505 1505
FIT_HPPP_Bound_060622_04.281.281.1.dta 17088 17088 0 0 1833 1833
FIT_HPPP_Bound_060622_04.282.282.1.dta 0 0 0 0 2009 2009
FIT_HPPP_Bound_060622_04.285.285.1.dta 9003 9003 0 0 911 911
FIT_HPPP_Bound_060622_04.286.286.1.dta 7189 7189 0 0 1326 1326
FIT_HPPP_Bound_060622_04.287.287.1.dta 6842 6842 0 0 1351 1351
FIT_HPPP_Bound_060622_04.289.289.1.dta 145145 145145 0 0 16654 16654
FIT_HPPP_Bound_060622_04.290.290.1.dta 10358 10358 0 0 1050 1050
FIT_HPPP_Bound_060622_04.291.291.1.dta 6602 6602 0 0 977 977
FIT_HPPP_Bound_060622_04.293.293.1.dta 8340 8340 0 0 2085 2085
FIT_HPPP_Bound_060622_04.294.294.1.dta 9230 9230 0 0 1273 1273
FIT_HPPP_Bound_060622_04.295.295.1.dta 139800 139800 0 0 16250 16250
FIT_HPPP_Bound_060622_04.297.297.1.dta 6956 6956 0 0 2096 2096
FIT_HPPP_Bound_060622_04.298.298.2.dta 4764 4764 0 0 4358 4358
FIT_HPPP_Bound_060622_04.298.298.3.dta 4764 4764 0 0 4358 4358
FIT_HPPP_Bound_060622_04.299.299.2.dta 3832 3832 0 0 1030 1030
FIT_HPPP_Bound_060622_04.299.299.3.dta 3832 3832 0 0 1030 1030
FIT_HPPP_Bound_060622_04.301.301.1.dta 6224 6224 0 0 4345 4345
FIT_HPPP_Bound_060622_04.302.302.2.dta 4615 4615 0 0 3397 3397
FIT_HPPP_Bound_060622_04.306.306.2.dta 6996 6996 0 0 3521 3521
FIT_HPPP_Bound_060622_04.307.307.2.dta 4194 4194 0 0 945 945
FIT_HPPP_Bound_060622_04.307.307.3.dta 4194 4194 0 0 945 945
FIT_HPPP_Bound_060622_04.309.309.1.dta 6119 6119 0 0 901 901
FIT_HPPP_Bound_060622_04.310.310.1.dta 8694 8694 0 0 2491 2491
